ERROR 2025-07-29 20:56:36,227 yahoo_finance 27584 28184 Failed to get price history for AMZN: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:36,227 cache 27584 28184 Failed to warm cache for AMZN: Failed to get price history for AMZN: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:36,534 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:36,534 yahoo_finance 27584 28184 Failed to get price history for TSLA: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:36,534 cache 27584 28184 Failed to warm cache for TSLA: Failed to get price history for TSLA: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:36,779 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:36,779 yahoo_finance 27584 28184 Failed to get price history for NVDA: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:36,779 cache 27584 28184 Failed to warm cache for NVDA: Failed to get price history for NVDA: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,022 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,023 yahoo_finance 27584 28184 Failed to get price history for META: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,023 cache 27584 28184 Failed to warm cache for META: Failed to get price history for META: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,274 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,274 yahoo_finance 27584 28184 Failed to get price history for NFLX: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
